N,C,H,W,pad,fK,fH,fW,fRank,ns
1,3,512,512,1,1,3,3,1,53088
2,3,512,512,1,1,3,3,1,99584
4,3,512,512,1,1,3,3,1,191584
8,3,512,512,1,1,3,3,1,375136
16,3,512,512,1,1,3,3,1,743328
32,3,512,512,1,1,3,3,1,1.47565e+06
64,3,512,512,1,1,3,3,1,2.94941e+06
128,3,512,512,1,1,3,3,1,5.89082e+06
1,3,512,512,1,1,3,3,2,54464
2,3,512,512,1,1,3,3,2,101920
4,3,512,512,1,1,3,3,2,195680
8,3,512,512,1,1,3,3,2,383904
16,3,512,512,1,1,3,3,2,757920
32,3,512,512,1,1,3,3,2,1.50627e+06
64,3,512,512,1,1,3,3,2,3.0073e+06
128,3,512,512,1,1,3,3,2,6.01997e+06
1,3,512,512,1,1,3,3,4,58624
2,3,512,512,1,1,3,3,4,111616
4,3,512,512,1,1,3,3,4,216256
8,3,512,512,1,1,3,3,4,424448
16,3,512,512,1,1,3,3,4,841888
32,3,512,512,1,1,3,3,4,1.67651e+06
64,3,512,512,1,1,3,3,4,3.35011e+06
128,3,512,512,1,1,3,3,4,6.67245e+06
1,3,512,512,1,1,3,3,8,73856
2,3,512,512,1,1,3,3,8,142304
4,3,512,512,1,1,3,3,8,274400
8,3,512,512,1,1,3,3,8,541664
16,3,512,512,1,1,3,3,8,1.08099e+06
32,3,512,512,1,1,3,3,8,2.15472e+06
64,3,512,512,1,1,3,3,8,4.27443e+06
128,3,512,512,1,1,3,3,8,8.60435e+06
1,3,512,512,1,1,3,3,16,182560
2,3,512,512,1,1,3,3,16,357824
4,3,512,512,1,1,3,3,16,699616
8,3,512,512,1,1,3,3,16,1.39757e+06
16,3,512,512,1,1,3,3,16,2.8152e+06
32,3,512,512,1,1,3,3,16,5.49488e+06
64,3,512,512,1,1,3,3,16,1.11852e+07
128,3,512,512,1,1,3,3,16,2.22942e+07
