N,C,H,W,pad,fK,fH,fW,fRank,us
32,3,512,512,1,1,3,3,15, 1992.58
64,3,512,512,1,1,3,3,15, 3965.54
128,3,512,512,1,1,3,3,15, 7921.32
1,3,512,512,1,1,3,3,16, 73.3277
2,3,512,512,1,1,3,3,16, 134.401
4,3,512,512,1,1,3,3,16, 258.201
8,3,512,512,1,1,3,3,16, 507.15
16,3,512,512,1,1,3,3,16, 1006.39
32,3,512,512,1,1,3,3,16, 2002.89
64,3,512,512,1,1,3,3,16, 3994.81
128,3,512,512,1,1,3,3,16, 7979.35
