N,C,H,W,pad,fK,fH,fW,fRank,ns
1,3,512,512,1,1,3,3,1,52768
1,3,512,512,2,1,5,5,1,76512
1,3,512,512,3,1,7,7,1,123712
1,3,512,512,4,1,9,9,1,188448
1,3,512,512,5,1,11,11,1,270368
1,3,512,512,6,1,13,13,1,366912
1,3,512,512,7,1,15,15,1,479904
1,3,512,512,8,1,17,17,1,604512
1,3,512,512,1,1,3,3,2,54080
1,3,512,512,2,1,5,5,2,77760
1,3,512,512,3,1,7,7,2,123968
1,3,512,512,4,1,9,9,2,188832
1,3,512,512,5,1,11,11,2,271520
1,3,512,512,6,1,13,13,2,367200
1,3,512,512,7,1,15,15,2,479872
1,3,512,512,8,1,17,17,2,605760
1,3,512,512,1,1,3,3,4,57600
1,3,512,512,2,1,5,5,4,83264
1,3,512,512,3,1,7,7,4,134848
1,3,512,512,4,1,9,9,4,217504
1,3,512,512,5,1,11,11,4,304544
1,3,512,512,6,1,13,13,4,411712
1,3,512,512,7,1,15,15,4,529152
1,3,512,512,8,1,17,17,4,673184
1,3,512,512,1,1,3,3,8,72416
1,3,512,512,2,1,5,5,8,164800
1,3,512,512,3,1,7,7,8,266112
1,3,512,512,4,1,9,9,8,416192
1,3,512,512,5,1,11,11,8,604192
1,3,512,512,6,1,13,13,8,1.38742e+06
1,3,512,512,7,1,15,15,8,1.95987e+06
1,3,512,512,8,1,17,17,8,2.22806e+06
1,3,512,512,1,1,3,3,16,183424
1,3,512,512,2,1,5,5,16,359904
1,3,512,512,3,1,7,7,16,933920
1,3,512,512,4,1,9,9,16,1.48173e+06
1,3,512,512,5,1,11,11,16,2.15725e+06
1,3,512,512,6,1,13,13,16,2.96291e+06
1,3,512,512,7,1,15,15,16,3.89706e+06
1,3,512,512,8,1,17,17,16,4.96605e+06
