N,C,H,W,pad,fK,fH,fW,fRank,us
1,64,512,512,1,1,3,3,15, 1407.33
1,128,512,512,1,1,3,3,15, 2812.7
1,1,512,512,1,1,3,3,16, 31.0386
1,2,512,512,1,1,3,3,16, 49.1057
1,4,512,512,1,1,3,3,16, 92.9702
1,8,512,512,1,1,3,3,16, 183.617
1,16,512,512,1,1,3,3,16, 359.202
1,32,512,512,1,1,3,3,16, 713.5
1,64,512,512,1,1,3,3,16, 1421.98
1,128,512,512,1,1,3,3,16, 2840.74
