N,C,H,W,pad,fK,fH,fW,fRank,us
1,3,64,64,1,1,3,3,15, 9.8417
1,3,128,128,1,1,3,3,15, 10.7983
1,3,256,256,1,1,3,3,15, 24.4208
1,3,512,512,1,1,3,3,15, 69.5585
1,3,1024,1024,1,1,3,3,15, 256.955
1,3,2048,2048,1,1,3,3,15, 1000.79
1,3,4096,4096,1,1,3,3,15, 3984.44
1,3,32,32,1,1,3,3,16, 9.74638
1,3,64,64,1,1,3,3,16, 9.58843
1,3,128,128,1,1,3,3,16, 11.0305
1,3,256,256,1,1,3,3,16, 24.8742
1,3,512,512,1,1,3,3,16, 70.6669
1,3,1024,1024,1,1,3,3,16, 258.907
1,3,2048,2048,1,1,3,3,16, 1007.49
1,3,4096,4096,1,1,3,3,16, 4004.69
