1,16,32,32,1,16,3,3,1,11264
1,16,32,32,1,16,3,3,2,11040
1,16,32,32,1,16,3,3,4,11168
1,16,32,32,1,16,3,3,8,11456
1,16,32,32,1,16,3,3,16,11008
1,16,32,32,1,16,3,3,32,11328
1,16,32,32,1,16,3,3,64,11072
1,16,32,32,1,16,3,3,128,11168
1,3,32,32,1,1,3,3,1,9152
1,3,64,64,1,1,3,3,1,9184
1,3,128,128,1,1,3,3,1,16736
1,3,256,256,1,1,3,3,1,43648
1,3,512,512,1,1,3,3,1,137952
1,3,1024,1024,1,1,3,3,1,516640
1,3,2048,2048,1,1,3,3,1,2.0287e+06
1,3,4096,4096,1,1,3,3,1,8.07088e+06
1,3,512,512,1,1,3,3,1,137952
1,3,512,512,1,2,3,3,1,138112
1,3,512,512,1,4,3,3,1,138816
1,3,512,512,1,8,3,3,1,139744
1,3,512,512,1,16,3,3,1,142336
1,3,512,512,1,32,3,3,1,147168
1,3,512,512,1,64,3,3,1,281888
1,3,512,512,1,128,3,3,1,1.54582e+06
1,1,512,512,1,1,3,3,1,98336
1,2,512,512,1,1,3,3,1,118112
1,4,512,512,1,1,3,3,1,157728
1,8,512,512,1,1,3,3,1,255488
1,16,512,512,1,1,3,3,1,458400
1,32,512,512,1,1,3,3,1,773760
1,64,512,512,1,1,3,3,1,1.28422e+06
1,128,512,512,1,1,3,3,1,2.29162e+06
1,3,512,512,1,1,3,3,1,137536
1,3,512,512,1,1,5,5,1,459200
1,3,512,512,1,1,7,7,1,861824
1,3,512,512,1,1,9,9,1,1.38685e+06
1,3,512,512,1,1,11,11,1,2.03942e+06
1,3,512,512,1,1,13,13,1,2.8073e+06
1,3,512,512,1,1,15,15,1,3.69718e+06
1,3,512,512,1,1,17,17,1,4.68672e+06
1,1,32,32,1,1,3,3,1,8928
2,1,32,32,1,1,3,3,1,8800
4,1,32,32,1,1,3,3,1,11168
8,1,32,32,1,1,3,3,1,12224
16,1,32,32,1,1,3,3,1,13248
32,1,32,32,1,1,3,3,1,55104
64,1,32,32,1,1,3,3,1,101952
128,1,32,32,1,1,3,3,1,52352
