N,C,H,W,pad,fK,fH,fW,fRank,ns
1,3,512,512,1,1,3,3,154907
2,3,512,512,1,1,3,3,280665
4,3,512,512,1,1,3,3,532477
8,3,512,512,1,1,3,3,1.03608e+06
16,3,512,512,1,1,3,3,1.6651e+06
32,3,512,512,1,1,3,3,3.15231e+06
64,3,512,512,1,1,3,3,5.93705e+06
128,3,512,512,1,1,3,3,1.1861e+07
1,3,512,512,1,1,3,3,120892
2,3,512,512,1,1,3,3,213957
4,3,512,512,1,1,3,3,400223
8,3,512,512,1,1,3,3,772278
16,3,512,512,1,1,3,3,1.51323e+06
32,3,512,512,1,1,3,3,2.98706e+06
64,3,512,512,1,1,3,3,5.96294e+06
128,3,512,512,1,1,3,3,1.19602e+07
1,3,512,512,1,1,3,3,121908
2,3,512,512,1,1,3,3,214751
4,3,512,512,1,1,3,3,399909
8,3,512,512,1,1,3,3,773171
16,3,512,512,1,1,3,3,1.50799e+06
32,3,512,512,1,1,3,3,3.00762e+06
64,3,512,512,1,1,3,3,6.01753e+06
128,3,512,512,1,1,3,3,1.20434e+07
1,3,512,512,1,1,3,3,120265
2,3,512,512,1,1,3,3,212546
4,3,512,512,1,1,3,3,399856
8,3,512,512,1,1,3,3,779440
16,3,512,512,1,1,3,3,1.51919e+06
32,3,512,512,1,1,3,3,3.0102e+06
64,3,512,512,1,1,3,3,6.0359e+06
128,3,512,512,1,1,3,3,1.20433e+07
1,3,512,512,1,1,3,3,120955
2,3,512,512,1,1,3,3,214037
4,3,512,512,1,1,3,3,404071
8,3,512,512,1,1,3,3,775996
16,3,512,512,1,1,3,3,1.51833e+06
32,3,512,512,1,1,3,3,3.00711e+06
64,3,512,512,1,1,3,3,6.03831e+06
128,3,512,512,1,1,3,3,1.2021e+07
